,flux,unix_time
558,24.0,1651833993.309653
559,24.0,1651833993.4123788
560,24.0,1651833993.5144508
561,24.0,1651833993.6128461
562,24.0,1651833993.7151575
563,24.0,1651833993.8135414
564,24.0,1651833993.9161427
565,24.0,1651833994.0183184
566,24.0,1651833994.1167443
567,24.0,1651833994.2191699
568,24.0,1651833994.3215356
569,23.5,1651833994.4199486
570,22.75,1651833994.5222752
571,22.37,1651833994.6245244
572,21.69,1651833994.7229505
573,21.34,1651833994.8252673
574,20.67,1651833994.9275954
575,20.34,1651833995.0261803
576,20.17,1651833995.1284704
577,20.08,1651833995.2307274
578,20.04,1651833995.329215
579,20.02,1651833995.43119
580,20.01,1651833995.5337472
581,20.01,1651833995.6322448
582,20.0,1651833995.7344131
583,20.0,1651833995.8367398
584,20.0,1651833995.9351566
585,20.0,1651833996.0375671
586,20.5,1651833996.1359556
587,20.75,1651833996.2383735
588,20.88,1651833996.3406687
589,20.94,1651833996.4391122
590,21.47,1651833996.5414329
591,21.73,1651833996.643814
592,22.37,1651833996.7420528
593,22.68,1651833996.8444295
594,23.34,1651833996.946869
595,23.67,1651833997.0453005
596,23.84,1651833997.1476166
597,23.92,1651833997.249836
598,23.96,1651833997.3482711
599,23.98,1651833997.450279
600,23.99,1651833997.5526602
601,23.99,1651833997.6509945
602,24.0,1651833997.7533698
603,24.0,1651833997.8558013
604,24.0,1651833997.9543796
605,24.0,1651833998.0568907
606,24.0,1651833998.1590474
607,24.0,1651833998.257532
608,24.0,1651833998.3601618
609,24.0,1651833998.4623528
610,24.0,1651833998.5606337
611,24.0,1651833998.6631038
612,24.0,1651833998.761426
613,24.0,1651833998.863744
614,24.0,1651833998.9659905
615,24.0,1651833999.064423
616,24.0,1651833999.1667275
617,24.0,1651833999.2692516
618,24.0,1651833999.3673894
619,24.0,1651833999.4701133
620,24.0,1651833999.5722642
621,24.0,1651833999.6704726
622,24.0,1651833999.7729924
623,24.0,1651833999.875363
624,24.0,1651833999.9737015
625,24.0,1651834000.0760896
626,24.0,1651834000.178543
627,24.0,1651834000.2768385
628,24.0,1651834000.379186
629,24.0,1651834000.4815578
630,24.0,1651834000.5799725
631,24.0,1651834000.6822894
632,24.0,1651834000.7845101
633,24.0,1651834000.8827705
634,24.0,1651834000.9852235
635,24.0,1651834001.0835507
636,24.0,1651834001.1859689
637,24.0,1651834001.288315
638,24.0,1651834001.3867016
639,24.0,1651834001.4891312
640,24.0,1651834001.5913815
641,24.0,1651834001.689779
642,24.0,1651834001.7922215
643,24.0,1651834001.8944254
644,24.0,1651834001.9928808
645,24.0,1651834002.0952492
646,24.0,1651834002.19757
647,24.0,1651834002.2960124
648,24.0,1651834002.398348
649,24.0,1651834002.5006511
650,24.0,1651834002.599134
651,24.0,1651834002.7013476
652,24.0,1651834002.8034983
653,24.0,1651834002.9021394
654,24.0,1651834003.0045047
655,24.0,1651834003.1068025
656,24.0,1651834003.2053401
657,24.0,1651834003.3075442
658,24.0,1651834003.4059849
659,24.0,1651834003.5083594
660,24.0,1651834003.6106167
661,24.0,1651834003.7089825
662,24.0,1651834003.8113086
663,24.0,1651834003.9136906
664,24.0,1651834004.0121102
665,24.0,1651834004.1144652
666,24.0,1651834004.2166536
667,24.0,1651834004.3151903
668,24.0,1651834004.4174945
669,24.0,1651834004.5198264
670,24.0,1651834004.6182048
671,24.0,1651834004.7205217
672,24.0,1651834004.822986
673,24.0,1651834004.9212685
674,24.0,1651834005.0237517
675,24.0,1651834005.1259995
676,24.0,1651834005.2245572
677,24.0,1651834005.3268707
678,24.0,1651834005.4252613
679,24.0,1651834005.5274968
680,24.0,1651834005.6300542
681,24.0,1651834005.7282188
682,24.0,1651834016.7683444
683,24.0,1651834016.7790043
684,24.0,1651834016.7908168
