,flux,unix_time
228,12.0,1658132899.1135678
229,12.0,1658132899.1669858
230,12.0,1658132899.2159972
231,12.0,1658132899.2697697
232,12.0,1658132899.3184044
233,12.0,1658132899.3675497
234,12.0,1658132899.4208434
235,12.0,1658132899.4698658
236,12.0,1658132899.5233707
237,12.0,1658132899.5723655
238,12.0,1658132899.6256573
239,12.0,1658132899.6748033
240,12.0,1658132899.723905
241,12.0,1658132899.7772913
242,12.0,1658132899.8262143
243,12.0,1658132899.8795285
244,12.0,1658132899.9289684
245,12.0,1658132899.9818006
246,12.0,1658132900.0310533
247,12.0,1658132900.0842505
248,12.0,1658132900.1335015
249,12.0,1658132900.1824796
250,12.0,1658132900.2360718
251,12.0,1658132900.2850173
252,12.0,1658132900.3381763
253,12.0,1658132900.387478
254,12.0,1658132900.4405923
255,12.0,1658132900.4897523
256,12.0,1658132900.5395262
257,12.0,1658132900.5920436
258,12.0,1658132900.6413202
259,12.0,1658132900.6947217
260,12.0,1658132900.743877
261,12.0,1658132900.7968159
262,12.0,1658132900.8462923
263,12.0,1658132900.8991904
264,12.0,1658132900.9488697
265,12.0,1658132900.9975808
266,12.0,1658132901.0510895
267,12.0,1658132901.100116
268,11.5,1658132901.1531172
269,11.25,1658132901.202388
270,11.13,1658132901.2560863
271,11.06,1658132901.3048272
272,11.03,1658132901.3580658
273,10.52,1658132901.4074936
274,10.26,1658132901.4562922
275,10.13,1658132901.5095265
276,10.06,1658132901.5592875
277,10.03,1658132901.6119292
278,10.02,1658132901.661006
279,10.01,1658132901.7144654
280,10.0,1658132901.7635667
281,10.0,1658132901.816723
282,10.0,1658132901.8660402
283,10.0,1658132901.915201
284,10.0,1658132901.9684536
285,10.0,1658132902.01751
286,10.0,1658132902.070905
287,10.0,1658132902.120163
288,10.0,1658132902.173053
289,10.0,1658132902.2222629
290,10.0,1658132902.2714639
291,10.0,1658132902.3246586
292,10.0,1658132902.374071
293,10.0,1658132902.4270725
294,10.5,1658132902.476275
295,10.75,1658132902.5293815
296,10.88,1658132902.5786722
297,10.94,1658132902.6319451
298,11.47,1658132902.6809347
299,11.73,1658132902.7302644
300,11.87,1658132902.7835014
301,11.93,1658132902.8327456
302,11.97,1658132902.8856645
303,11.98,1658132902.9348826
304,11.99,1658132902.988347
305,12.0,1658132903.0373182
306,12.0,1658132903.090539
307,12.0,1658132903.1397865
308,12.0,1658132903.1891983
309,12.0,1658132903.2421372
310,12.0,1658132903.2915707
311,12.0,1658132903.3444111
312,12.0,1658132903.39369
313,12.0,1658132903.447006
314,12.0,1658132903.495992
315,12.0,1658132903.5453045
316,12.0,1658132903.5989232
317,12.0,1658132903.6481702
318,12.0,1658132903.7009947
